Transposon	position	bdgp_1	bdgp_2	wt_1	wt_2
G2_DM	74	2	5	4	4
G2_DM	75	2	5	4	4
G2_DM	76	2	5	4	4
G2_DM	77	2	5	4	4
G2_DM	78	2	5	4	4
G2_DM	79	2	5	4	4
G2_DM	80	2	5	4	4
G2_DM	81	2	5	4	4
G2_DM	82	2	5	3	4
G2_DM	83	2	5	3	4
G2_DM	84	2	5	3	4
G2_DM	85	2	5	3	4
G2_DM	86	2	5	3	4
G2_DM	87	2	5	3	4
G2_DM	88	2	5	3	4
G2_DM	89	2	5	3	4
G2_DM	90	2	5	3	4
G2_DM	91	2	5	4	5
G2_DM	92	2	5	4	5
G2_DM	93	2	4	4	5
G2_DM	94	2	4	4	5
G2_DM	95	2	4	4	5
G2_DM	96	2	4	4	5
G2_DM	97	3	4	4	5
G2_DM	98	3	4	4	5
G2_DM	99	3	4	4	5
G2_DM	100	3	5	4	5
G2_DM	101	3	4	3	5
G2_DM	102	3	4	3	5
G2_DM	103	3	5	3	5
G2_DM	104	3	5	2	5
G2_DM	105	3	5	2	5
G2_DM	106	3	5	2	5
G2_DM	107	3	5	2	5
G2_DM	108	2	5	2	5
G2_DM	109	2	5	2	5
G2_DM	110	2	5	2	5
G2_DM	111	2	5	2	5
G2_DM	112	3	5	2	5
G2_DM	113	3	5	2	5
G2_DM	114	3	5	2	5
G2_DM	115	3	5	2	5
G2_DM	116	3	4	2	5
G2_DM	117	3	4	2	5
G2_DM	118	3	4	2	5
G2_DM	119	3	4	2	5
G2_DM	120	3	4	2	5
G2_DM	121	3	4	2	5
G2_DM	122	3	4	2	5
G2_DM	123	3	4	2	4
G2_DM	124	3	4	2	4
G2_DM	125	3	4	2	4
G2_DM	126	3	4	2	4
G2_DM	127	3	4	2	3
G2_DM	128	2	4	2	3
G2_DM	129	2	4	2	3
G2_DM	130	2	4	2	3
G2_DM	131	2	5	2	3
G2_DM	132	2	5	2	3
G2_DM	133	3	5	2	3
G2_DM	134	3	5	2	3
G2_DM	135	3	5	1	3
G2_DM	136	3	6	1	3
G2_DM	137	3	6	1	3
G2_DM	138	3	6	1	3
G2_DM	139	3	6	1	3
G2_DM	140	3	6	1	3
G2_DM	141	3	6	1	3
G2_DM	142	3	6	1	3
G2_DM	143	3	6	1	3
G2_DM	144	3	6	1	3
G2_DM	145	3	6	1	3
G2_DM	146	3	6	1	3
G2_DM	147	3	6	1	3
G2_DM	148	3	6	1	3
G2_DM	149	3	6	1	1
G2_DM	150	3	6	1	1
G2_DM	151	3	6	1	1
G2_DM	152	3	6	1	1
G2_DM	153	3	6	1	1
G2_DM	154	3	6	1	1
G2_DM	155	3	6	1	1
G2_DM	156	3	6	1	1
G2_DM	157	3	6	1	1
G2_DM	158	3	6	1	1
G2_DM	159	3	6	1	1
G2_DM	160	3	6	1	1
G2_DM	161	3	6	1	1
G2_DM	162	4	6	1	1
G2_DM	163	4	6	1	1
G2_DM	164	4	5	1	1
G2_DM	165	4	5	1	1
G2_DM	166	5	6	1	1
G2_DM	167	5	6	0	0
G2_DM	168	5	5	0	0
G2_DM	169	5	5	0	0
G2_DM	170	5	5	0	0
G2_DM	171	5	5	0	0
G2_DM	172	5	5	0	0
G2_DM	173	5	5	0	0
G2_DM	174	5	5	0	0
G2_DM	175	5	6	1	0
G2_DM	176	5	6	1	0
G2_DM	177	5	6	1	0
G2_DM	178	5	6	1	0
G2_DM	179	5	6	1	0
G2_DM	180	5	6	1	0
G2_DM	181	5	6	1	0
G2_DM	182	5	6	1	0
G2_DM	183	5	7	1	0
G2_DM	184	5	7	1	0
G2_DM	185	5	7	1	0
G2_DM	186	5	7	1	0
G2_DM	187	5	7	1	0
G2_DM	188	5	7	1	0
G2_DM	189	5	7	1	0
G2_DM	190	5	8	1	0
G2_DM	191	5	8	1	0
G2_DM	192	5	8	1	0
G2_DM	193	5	8	1	0
G2_DM	194	4	8	1	0
G2_DM	195	4	8	1	0
G2_DM	196	4	8	1	0
G2_DM	197	4	8	1	0
G2_DM	198	4	8	1	0
G2_DM	199	4	6	1	0
G2_DM	200	4	6	1	0
G2_DM	201	4	5	1	0
G2_DM	202	4	5	1	0
G2_DM	203	4	5	1	0
G2_DM	204	4	5	1	0
G2_DM	205	4	5	1	0
G2_DM	206	4	5	1	0
G2_DM	207	4	5	1	0
G2_DM	208	4	5	1	0
G2_DM	209	3	5	1	0
G2_DM	210	4	5	1	0
G2_DM	211	4	5	1	0
G2_DM	212	4	5	1	0
G2_DM	213	4	5	1	1
G2_DM	214	4	5	1	1
G2_DM	215	4	5	1	1
G2_DM	216	4	5	1	1
G2_DM	217	4	5	1	1
G2_DM	218	4	5	1	1
G2_DM	219	4	5	1	1
G2_DM	220	4	6	1	1
G2_DM	221	4	6	1	1
G2_DM	222	4	6	1	1
G2_DM	223	4	6	1	1
G2_DM	224	4	6	1	1
G2_DM	225	5	6	1	1
G2_DM	226	5	6	1	1
G2_DM	227	5	6	1	1
G2_DM	228	5	7	1	1
G2_DM	229	5	7	1	1
G2_DM	230	5	7	1	1
G2_DM	231	5	7	1	1
G2_DM	232	5	7	1	1
G2_DM	233	4	6	1	1
G2_DM	234	4	6	1	1
G2_DM	235	4	6	1	1
G2_DM	236	4	6	1	1
G2_DM	237	4	6	1	1
G2_DM	238	4	6	1	1
G2_DM	239	4	6	1	1
G2_DM	240	4	6	1	1
G2_DM	241	4	6	1	1
G2_DM	242	4	6	1	1
G2_DM	243	4	6	1	1
G2_DM	244	4	6	1	1
G2_DM	245	4	6	1	1
G2_DM	246	4	6	1	1
G2_DM	247	4	6	1	1
G2_DM	248	4	6	1	1
G2_DM	249	4	6	1	1
G2_DM	250	4	6	0	1
G2_DM	251	4	6	0	1
G2_DM	252	4	6	0	1
G2_DM	253	4	6	0	1
G2_DM	254	4	6	0	1
G2_DM	255	4	6	0	1
G2_DM	256	4	7	0	1
G2_DM	257	4	7	0	1
G2_DM	258	4	7	0	1
G2_DM	259	4	7	0	1
G2_DM	260	4	7	0	1
G2_DM	261	4	7	0	1
G2_DM	262	3	7	0	1
G2_DM	263	3	7	0	1
G2_DM	264	3	7	0	1
G2_DM	265	3	7	0	1
G2_DM	266	2	6	0	1
G2_DM	267	2	6	0	1
G2_DM	268	2	6	0	1
G2_DM	269	2	6	0	1
G2_DM	270	2	6	0	1
G2_DM	271	2	6	0	1
G2_DM	272	2	6	0	1
G2_DM	273	2	6	0	1
G2_DM	274	2	5	0	1
G2_DM	275	2	5	0	1
G2_DM	276	2	5	0	1
G2_DM	277	2	5	0	1
G2_DM	278	2	5	0	1
G2_DM	279	2	5	0	1
G2_DM	280	2	5	0	1
G2_DM	281	2	5	0	1
G2_DM	282	2	4	0	1
G2_DM	283	2	4	0	1
G2_DM	284	2	4	0	1
G2_DM	285	2	4	0	1
G2_DM	286	2	4	0	1
G2_DM	287	2	4	0	1
G2_DM	288	2	4	0	1
G2_DM	289	3	4	0	0
G2_DM	290	3	3	0	0
G2_DM	291	3	3	0	0
G2_DM	292	3	3	0	0
G2_DM	293	3	3	0	0
G2_DM	294	3	3	0	0
G2_DM	295	3	3	0	0
G2_DM	296	3	3	0	0
G2_DM	297	3	3	0	0
G2_DM	298	3	3	0	0
G2_DM	299	3	2	0	0
G2_DM	300	3	3	0	0
G2_DM	301	3	3	0	0
G2_DM	302	3	3	0	0
G2_DM	303	3	3	0	0
G2_DM	304	3	3	0	0
G2_DM	305	3	3	0	0
G2_DM	306	3	3	0	1
G2_DM	307	2	2	0	1
G2_DM	308	2	2	0	1
G2_DM	309	2	2	0	1
G2_DM	310	2	2	0	1
G2_DM	311	2	2	0	1
G2_DM	312	2	2	0	1
G2_DM	313	2	2	0	1
G2_DM	314	2	2	0	1
G2_DM	315	2	1	0	1
G2_DM	316	2	1	0	1
G2_DM	317	2	1	0	1
G2_DM	318	2	1	0	1
G2_DM	319	1	1	0	1
G2_DM	320	1	1	0	1
G2_DM	321	1	1	0	1
G2_DM	322	1	1	0	1
G2_DM	323	1	1	0	1
G2_DM	324	1	1	0	1
G2_DM	325	1	1	0	1
G2_DM	326	1	1	1	1
G2_DM	327	1	1	1	1
G2_DM	328	1	1	1	1
G2_DM	329	1	0	2	1
G2_DM	330	1	0	2	1
G2_DM	331	1	1	2	1
G2_DM	332	2	1	2	1
G2_DM	333	2	1	2	1
G2_DM	334	2	1	2	1
G2_DM	335	2	2	2	1
G2_DM	336	2	2	2	1
G2_DM	337	2	2	2	1
G2_DM	338	2	3	2	1
G2_DM	339	2	3	2	1
G2_DM	340	2	3	2	1
G2_DM	341	2	3	2	1
G2_DM	342	2	3	2	1
G2_DM	343	2	3	2	1
G2_DM	344	2	3	2	1
G2_DM	345	2	3	2	1
G2_DM	346	2	3	2	1
G2_DM	347	2	3	2	1
G2_DM	348	2	3	2	1
G2_DM	349	2	3	2	1
G2_DM	350	3	3	2	1
G2_DM	351	4	3	2	1
G2_DM	352	4	3	2	1
G2_DM	353	4	3	2	1
G2_DM	354	4	3	2	1
G2_DM	355	4	3	2	1
G2_DM	356	4	3	2	1
G2_DM	357	4	3	2	1
G2_DM	358	4	3	2	1
G2_DM	359	4	3	2	1
G2_DM	360	4	3	2	1
G2_DM	361	4	3	2	1
G2_DM	362	4	3	2	1
G2_DM	363	4	3	2	1
G2_DM	364	4	3	2	1
G2_DM	365	4	3	2	1
G2_DM	366	4	3	2	1
G2_DM	367	4	3	2	1
G2_DM	368	4	4	2	1
G2_DM	369	4	4	2	1
G2_DM	370	4	4	2	1
G2_DM	371	4	4	2	1
G2_DM	372	4	4	2	1
G2_DM	373	4	4	2	1
G2_DM	374	4	4	2	1
G2_DM	375	4	4	2	1
G2_DM	376	4	4	2	1
G2_DM	377	4	4	2	1
G2_DM	378	4	4	2	0
G2_DM	379	4	4	2	0
G2_DM	380	5	4	2	0
G2_DM	381	5	4	2	0
G2_DM	382	5	4	2	0
G2_DM	383	5	4	2	0
G2_DM	384	5	4	2	0
G2_DM	385	5	4	2	0
G2_DM	386	5	4	2	0
G2_DM	387	5	4	2	0
G2_DM	388	4	4	2	0
G2_DM	389	4	4	2	0
G2_DM	390	4	4	2	0
G2_DM	391	4	4	2	0
G2_DM	392	4	4	2	0
G2_DM	393	4	4	2	0
G2_DM	394	4	4	2	0
G2_DM	395	4	5	2	0
G2_DM	396	4	5	2	0
G2_DM	397	4	5	2	0
G2_DM	398	4	5	2	0
G2_DM	399	4	5	2	0
G2_DM	400	5	5	2	0
G2_DM	401	5	5	2	0
G2_DM	402	5	5	1	0
G2_DM	403	6	5	1	0
G2_DM	404	6	5	1	0
G2_DM	405	6	5	0	0
G2_DM	406	6	5	0	0
G2_DM	407	6	5	0	0
G2_DM	408	6	6	0	0
G2_DM	409	6	6	0	0
G2_DM	410	6	6	0	0
G2_DM	411	6	6	0	0
G2_DM	412	7	6	0	0
G2_DM	413	7	6	0	0
G2_DM	414	7	5	0	0
G2_DM	415	7	5	0	0
G2_DM	416	7	5	0	0
G2_DM	417	7	5	0	0
G2_DM	418	7	5	0	0
G2_DM	419	7	5	0	0
G2_DM	420	7	4	0	0
G2_DM	421	7	4	0	0
G2_DM	422	7	4	0	0
G2_DM	423	7	4	0	0
G2_DM	424	7	4	0	0
G2_DM	425	7	4	0	0
G2_DM	426	7	4	0	0
G2_DM	427	7	4	0	0
G2_DM	428	7	4	0	0
G2_DM	429	7	4	0	0
G2_DM	430	7	4	0	0
G2_DM	431	7	3	0	0
G2_DM	432	6	3	1	0
G2_DM	433	6	3	1	0
G2_DM	434	6	3	1	0
G2_DM	435	7	3	1	0
G2_DM	436	7	3	1	0
G2_DM	437	7	3	1	0
G2_DM	438	7	3	1	0
G2_DM	439	7	3	1	0
G2_DM	440	7	3	1	0
G2_DM	441	7	3	1	0
G2_DM	442	7	3	1	0
G2_DM	443	7	3	1	0
G2_DM	444	7	3	1	0
G2_DM	445	7	3	1	0
G2_DM	446	7	3	1	0
G2_DM	447	6	3	1	0
G2_DM	448	6	3	1	0
G2_DM	449	5	3	1	0
G2_DM	450	5	3	1	0
G2_DM	451	5	3	1	0
G2_DM	452	5	3	1	0
G2_DM	453	5	3	1	0
G2_DM	454	5	3	1	0
G2_DM	455	5	3	1	0
G2_DM	456	5	3	1	0
G2_DM	457	5	3	1	0
G2_DM	458	5	3	1	0
G2_DM	459	5	3	1	0
G2_DM	460	5	3	1	0
G2_DM	461	5	3	1	0
G2_DM	462	5	3	1	0
G2_DM	463	5	3	1	0
G2_DM	464	5	3	1	0
G2_DM	465	5	3	1	0
G2_DM	466	5	3	1	0
G2_DM	467	5	3	1	0
G2_DM	468	5	2	1	0
G2_DM	469	5	2	1	0
G2_DM	470	5	3	1	0
G2_DM	471	5	3	1	0
G2_DM	472	5	3	1	0
G2_DM	473	5	3	1	0
G2_DM	474	5	3	1	0
G2_DM	475	5	3	1	0
G2_DM	476	5	3	1	0
G2_DM	477	5	4	1	0
G2_DM	478	5	4	1	0
G2_DM	479	5	4	1	0
G2_DM	480	4	4	1	0
G2_DM	481	4	4	1	0
G2_DM	482	4	4	1	0
G2_DM	483	4	4	1	0
G2_DM	484	4	4	1	0
G2_DM	485	4	4	1	0
G2_DM	486	4	4	1	0
G2_DM	487	4	4	1	0
G2_DM	488	4	4	1	0
G2_DM	489	4	4	1	0
G2_DM	490	4	4	1	0
G2_DM	491	4	4	1	0
G2_DM	492	4	4	1	0
G2_DM	493	4	4	1	0
G2_DM	494	4	4	2	0
G2_DM	495	4	3	2	0
G2_DM	496	4	3	2	0
G2_DM	497	4	3	2	0
G2_DM	498	4	3	2	0
G2_DM	499	3	3	2	0
G2_DM	500	3	3	2	0
G2_DM	501	3	3	2	0
G2_DM	502	3	3	2	0
G2_DM	503	2	3	2	0
G2_DM	504	2	3	2	0
G2_DM	505	2	3	2	0
G2_DM	506	2	3	2	0
G2_DM	507	2	3	2	0
G2_DM	508	1	2	1	0
G2_DM	509	1	2	1	0
G2_DM	510	1	2	1	0
G2_DM	511	1	2	1	0
G2_DM	512	1	2	1	0
G2_DM	513	1	2	1	0
G2_DM	514	1	2	1	0
G2_DM	515	1	3	1	0
G2_DM	516	1	3	1	0
G2_DM	517	1	3	1	0
G2_DM	518	1	3	1	0
G2_DM	519	1	3	1	0
G2_DM	520	1	3	1	0
G2_DM	521	1	3	1	0
G2_DM	522	1	3	1	0
G2_DM	523	1	3	1	0
G2_DM	524	1	3	2	0
G2_DM	525	1	3	2	0
G2_DM	526	1	3	2	0
G2_DM	527	1	3	2	0
G2_DM	528	1	4	2	0
G2_DM	529	1	4	2	0
G2_DM	530	1	4	2	0
G2_DM	531	1	4	2	0
G2_DM	532	1	4	2	0
G2_DM	533	1	4	2	0
G2_DM	534	1	4	2	0
G2_DM	535	0	4	2	0
G2_DM	536	0	4	2	0
G2_DM	537	0	4	2	0
G2_DM	538	0	4	2	0
G2_DM	539	0	4	2	0
G2_DM	540	0	4	2	0
G2_DM	541	0	4	2	0
G2_DM	542	0	4	2	0
G2_DM	543	0	4	2	0
G2_DM	544	0	4	2	0
G2_DM	545	0	4	2	0
G2_DM	546	0	4	2	0
G2_DM	547	0	4	2	0
G2_DM	548	0	4	2	0
G2_DM	549	0	4	2	0
G2_DM	550	0	4	3	0
G2_DM	551	0	4	3	0
G2_DM	552	0	4	3	0
G2_DM	553	0	3	3	0
G2_DM	554	0	3	3	0
G2_DM	555	0	3	3	0
G2_DM	556	0	3	3	0
G2_DM	557	0	3	3	0
G2_DM	558	0	3	3	0
G2_DM	559	0	3	3	0
G2_DM	560	0	3	3	0
G2_DM	561	0	3	3	0
G2_DM	562	1	3	3	0
G2_DM	563	1	3	3	0
G2_DM	564	1	3	3	0
G2_DM	565	1	3	3	0
G2_DM	566	1	3	3	0
G2_DM	567	2	3	3	0
G2_DM	568	2	3	3	0
G2_DM	569	2	3	3	0
G2_DM	570	2	3	2	0
G2_DM	571	2	3	2	0
G2_DM	572	2	3	2	0
G2_DM	573	2	3	2	0
G2_DM	574	2	3	2	0
G2_DM	575	2	3	2	0
G2_DM	576	2	3	2	0
G2_DM	577	2	2	2	0
G2_DM	578	2	2	2	0
G2_DM	579	2	2	2	0
G2_DM	580	2	2	2	0
G2_DM	581	2	2	2	0
G2_DM	582	2	2	2	0
G2_DM	583	2	2	2	0
G2_DM	584	2	2	2	0
G2_DM	585	2	2	2	0
G2_DM	586	2	2	2	0
G2_DM	587	2	2	2	0
G2_DM	588	2	2	2	0
G2_DM	589	2	2	2	0
G2_DM	590	2	2	2	0
G2_DM	591	2	2	2	0
G2_DM	592	2	2	2	0
G2_DM	593	2	2	2	0
G2_DM	594	2	2	2	0
G2_DM	595	2	2	2	0
G2_DM	596	2	2	2	0
G2_DM	597	2	2	1	0
G2_DM	598	2	2	1	0
G2_DM	599	2	2	1	0
G2_DM	600	2	2	1	0
G2_DM	601	2	2	1	0
G2_DM	602	2	2	1	0
G2_DM	603	2	2	1	0
G2_DM	604	2	2	2	0
G2_DM	605	2	2	2	0
G2_DM	606	2	2	2	0
G2_DM	607	2	2	2	0
G2_DM	608	2	2	2	0
G2_DM	609	2	2	2	0
G2_DM	610	3	3	2	0
G2_DM	611	3	3	2	0
G2_DM	612	3	3	2	0
G2_DM	613	3	3	2	0
G2_DM	614	3	3	2	0
G2_DM	615	3	2	2	0
G2_DM	616	3	2	2	0
G2_DM	617	3	2	2	0
G2_DM	618	3	2	2	0
G2_DM	619	3	2	2	0
G2_DM	620	3	2	2	0
G2_DM	621	3	2	2	0
G2_DM	622	3	3	1	0
G2_DM	623	4	2	1	0
G2_DM	624	4	2	1	0
G2_DM	625	4	2	1	0
G2_DM	626	4	2	1	0
G2_DM	627	4	2	1	0
G2_DM	628	4	2	1	0
G2_DM	629	4	2	1	0
G2_DM	630	4	2	1	0
G2_DM	631	4	2	1	0
G2_DM	632	4	2	1	0
G2_DM	633	4	2	1	0
G2_DM	634	4	2	1	0
G2_DM	635	4	2	1	0
G2_DM	636	4	2	1	0
G2_DM	637	4	2	1	0
G2_DM	638	4	2	1	0
G2_DM	639	4	2	1	0
G2_DM	640	4	2	1	0
G2_DM	641	4	2	1	0
G2_DM	642	4	2	1	0
G2_DM	643	4	2	1	0
G2_DM	644	4	2	1	0
G2_DM	645	4	2	1	0
G2_DM	646	4	2	1	0
G2_DM	647	4	2	1	0
G2_DM	648	4	2	1	0
G2_DM	649	4	2	1	0
G2_DM	650	4	2	1	0
G2_DM	651	4	2	1	1
G2_DM	652	4	2	1	1
G2_DM	653	4	2	1	1
G2_DM	654	4	2	1	1
G2_DM	655	4	2	1	1
G2_DM	656	4	2	1	1
G2_DM	657	4	2	1	1
G2_DM	658	4	2	1	1
G2_DM	659	3	2	1	1
G2_DM	660	3	2	1	1
G2_DM	661	3	2	1	1
G2_DM	662	2	2	1	1
G2_DM	663	2	2	1	1
G2_DM	664	2	2	1	1
G2_DM	665	2	2	1	1
G2_DM	666	2	2	1	1
G2_DM	667	2	2	1	1
G2_DM	668	2	2	1	1
G2_DM	669	2	2	1	1
G2_DM	670	2	2	1	1
G2_DM	671	2	2	1	1
G2_DM	672	2	3	1	1
G2_DM	673	2	3	1	1
G2_DM	674	2	3	1	1
G2_DM	675	1	3	1	1
G2_DM	676	1	3	1	1
G2_DM	677	1	3	1	1
G2_DM	678	1	3	0	1
G2_DM	679	1	3	0	1
G2_DM	680	1	3	0	1
G2_DM	681	1	3	0	1
G2_DM	682	2	3	0	1
G2_DM	683	2	3	0	1
G2_DM	684	2	3	0	1
G2_DM	685	1	3	0	1
G2_DM	686	1	3	0	1
G2_DM	687	1	3	0	1
G2_DM	688	1	3	1	1
G2_DM	689	1	3	1	1
G2_DM	690	1	3	1	1
G2_DM	691	1	3	1	1
G2_DM	692	1	3	1	1
G2_DM	693	1	3	1	1
G2_DM	694	1	3	1	1
G2_DM	695	1	3	1	1
G2_DM	696	1	3	1	1
G2_DM	697	1	3	1	1
G2_DM	698	1	3	1	1
G2_DM	699	1	3	1	1
G2_DM	700	1	3	1	2
G2_DM	701	1	3	1	2
G2_DM	702	2	3	1	2
G2_DM	703	3	3	1	2
G2_DM	704	6	3	1	2
G2_DM	705	6	3	1	2
G2_DM	706	7	3	1	2
G2_DM	707	7	3	1	2
G2_DM	708	8	3	1	2
G2_DM	709	8	3	1	2
G2_DM	710	8	2	1	2
G2_DM	711	8	2	1	2
G2_DM	712	8	2	1	2
G2_DM	713	8	2	1	2
G2_DM	714	8	2	1	2
G2_DM	715	8	2	1	2
G2_DM	716	8	1	1	2
G2_DM	717	9	1	1	2
G2_DM	718	9	1	1	2
G2_DM	719	9	1	1	2
G2_DM	720	9	1	1	2
G2_DM	721	8	1	1	2
G2_DM	722	8	1	1	3
G2_DM	723	8	1	1	2
G2_DM	724	8	1	1	2
G2_DM	725	8	1	1	2
G2_DM	726	8	1	1	2
G2_DM	727	8	1	1	2
G2_DM	728	8	1	1	2
G2_DM	729	8	1	1	2
G2_DM	730	8	1	1	2
G2_DM	731	8	1	1	3
G2_DM	732	8	1	1	3
G2_DM	733	8	1	1	3
G2_DM	734	8	1	1	3
G2_DM	735	8	1	1	3
G2_DM	736	8	1	1	3
G2_DM	737	8	1	1	3
G2_DM	738	8	1	1	3
G2_DM	739	8	1	1	3
G2_DM	740	8	1	1	3
G2_DM	741	8	1	1	3
G2_DM	742	8	1	1	3
G2_DM	743	8	1	1	3
G2_DM	744	8	1	1	3
G2_DM	745	8	1	1	3
G2_DM	746	8	1	1	3
G2_DM	747	8	1	1	3
G2_DM	748	8	1	1	3
G2_DM	749	8	1	1	3
G2_DM	750	8	1	1	3
G2_DM	751	8	1	1	3
G2_DM	752	8	1	1	3
G2_DM	753	8	1	1	3
G2_DM	754	8	1	1	3
G2_DM	755	8	1	1	3
G2_DM	756	8	1	1	3
G2_DM	757	8	1	1	3
G2_DM	758	8	1	1	3
G2_DM	759	8	1	1	3
G2_DM	760	8	2	1	3
G2_DM	761	8	2	1	3
G2_DM	762	8	2	1	3
G2_DM	763	8	2	1	3
G2_DM	764	8	2	0	3
G2_DM	765	8	2	0	3
G2_DM	766	8	2	0	3
G2_DM	767	8	2	0	3
G2_DM	768	8	2	0	3
G2_DM	769	8	2	0	3
G2_DM	770	8	2	0	3
G2_DM	771	8	2	0	3
G2_DM	772	8	1	0	3
G2_DM	773	8	1	0	3
G2_DM	774	8	1	0	3
G2_DM	775	8	1	0	2
G2_DM	776	8	1	0	2
G2_DM	777	9	1	0	2
G2_DM	778	9	1	0	2
G2_DM	779	9	1	0	2
G2_DM	780	9	1	0	2
G2_DM	781	9	1	0	2
G2_DM	782	9	1	0	2
G2_DM	783	8	1	0	2
G2_DM	784	8	1	0	2
G2_DM	785	8	1	0	2
G2_DM	786	8	1	0	2
G2_DM	787	8	2	0	2
G2_DM	788	9	2	0	2
G2_DM	789	9	2	0	2
G2_DM	790	9	2	0	2
G2_DM	791	9	2	0	2
G2_DM	792	9	2	0	2
G2_DM	793	6	2	0	2
G2_DM	794	6	2	0	2
G2_DM	795	6	2	0	1
G2_DM	796	7	2	0	1
G2_DM	797	7	3	0	1
G2_DM	798	7	3	0	1
G2_DM	799	7	3	0	1
G2_DM	800	7	4	0	2
G2_DM	801	7	4	0	2
G2_DM	802	6	5	0	2
G2_DM	803	5	5	0	2
G2_DM	804	4	5	0	2
G2_DM	805	4	5	0	2
G2_DM	806	4	5	0	2
G2_DM	807	4	5	0	1
G2_DM	808	3	5	0	1
G2_DM	809	3	5	0	1
G2_DM	810	3	5	0	1
G2_DM	811	3	5	0	1
G2_DM	812	3	5	0	1
G2_DM	813	3	5	0	1
G2_DM	814	3	5	0	1
G2_DM	815	3	5	0	1
G2_DM	816	3	5	0	1
G2_DM	817	3	5	0	1
G2_DM	818	3	5	0	1
G2_DM	819	3	5	0	1
G2_DM	820	3	5	0	1
G2_DM	821	4	5	0	1
G2_DM	822	4	5	0	1
G2_DM	823	4	5	0	1
G2_DM	824	4	5	0	1
G2_DM	825	4	5	0	1
G2_DM	826	4	5	0	1
G2_DM	827	4	5	0	1
G2_DM	828	4	5	0	1
G2_DM	829	4	5	0	1
G2_DM	830	4	5	0	1
G2_DM	831	4	5	0	1
G2_DM	832	4	5	0	1
G2_DM	833	4	5	0	1
G2_DM	834	4	5	1	2
G2_DM	835	4	5	1	2
G2_DM	836	4	5	1	2
G2_DM	837	4	5	1	2
G2_DM	838	4	6	1	2
G2_DM	839	4	6	1	2
G2_DM	840	4	6	1	2
G2_DM	841	4	6	1	2
G2_DM	842	4	6	1	2
G2_DM	843	4	6	1	2
G2_DM	844	4	6	1	2
G2_DM	845	4	6	1	2
G2_DM	846	4	6	1	2
G2_DM	847	4	6	1	2
G2_DM	848	4	6	1	2
G2_DM	849	4	6	1	2
G2_DM	850	4	6	1	2
G2_DM	851	4	6	1	2
G2_DM	852	4	7	1	2
G2_DM	853	4	7	1	3
G2_DM	854	4	7	1	3
G2_DM	855	4	8	1	3
G2_DM	856	4	8	1	3
G2_DM	857	5	8	1	3
G2_DM	858	5	8	1	3
G2_DM	859	5	8	1	3
G2_DM	860	5	7	1	3
G2_DM	861	7	7	1	3
G2_DM	862	7	7	1	3
G2_DM	863	7	7	1	3
G2_DM	864	7	7	1	3
G2_DM	865	7	7	1	3
G2_DM	866	7	7	1	3
G2_DM	867	7	7	1	3
G2_DM	868	7	7	1	3
G2_DM	869	8	7	1	3
G2_DM	870	8	7	1	3
G2_DM	871	8	7	1	3
